epoch,train_loss,val_loss,val_ppl
1,23.40026377324278,6.449392823290773,632.3182473197211
2,5.924927193214459,5.330403014176289,206.52118835354187
3,5.103481424120722,4.844100365147476,126.98898687103174
4,4.721507190771706,4.619992934864189,101.49331506295766
5,4.498805634372739,4.434900115139689,84.34369980885516
6,4.343317830540434,4.299069692399174,73.63126210401256
7,4.222434212394806,4.191895043824158,66.14802566782409
8,4.125838021585047,4.10621195405364,60.716285322702966
9,4.045127671115018,4.0545534592687655,57.65940997161252
10,3.979017629166961,4.003768388261402,54.80428521558481
11,3.922777921182959,3.955376624373396,52.21535581729534
12,3.877501730249717,3.912417240501203,50.019715639695846
13,3.837566003812733,3.897972204335628,49.302372535134914
14,3.803047830619776,3.878547738029913,48.35394146555928
15,3.771639100570218,3.839777454486729,46.51512155623642
16,3.74553890565071,3.8150977620784414,45.38119272581374
17,3.7222074810900208,3.805849839567395,44.96344559585207
18,3.698704777375473,3.7933612782551593,44.40540864087727
19,3.6795525898720696,3.749486649213879,42.49925937100247
20,3.661957569614219,3.7565059225821247,42.79862271791978
21,3.64613223186656,3.732188545029981,41.77042465773653
22,3.632781844821561,3.7424460807192257,42.20109129249053
23,3.618315275052223,3.722517518438587,41.3684088562226
24,3.605721275713364,3.705239363226741,40.659778607981885
25,3.5952980707790774,3.7042330766030576,40.61888379604876
26,3.582011892782268,3.700433043359259,40.464823589639686
27,3.570878259422168,3.6736047824597993,39.39365577737389
28,3.5610600399705112,3.648045463608933,38.3995393569486
29,3.5509526914601874,3.665795099028913,39.087202007610536
30,3.540961891191156,3.650475960831133,38.49298284175454
31,3.531418735985419,3.643692512995981,38.232751331946254
32,3.522028249546498,3.643643880581114,38.23089202613361
33,3.512251217347538,3.6249049045497865,37.521154898823376
34,3.504796925641347,3.621852043926218,37.40678271248264
35,3.4952875132011214,3.6426484046124137,38.19285302845493
36,3.486522697272354,3.631525270962233,37.7703827721038
37,3.478645278175524,3.6017879497895198,36.663728782095134
38,3.4713351218009083,3.613415135405732,37.09251270651729
39,3.463940257476608,3.584835429316376,36.04742488133145
40,3.457355320121276,3.5912409753811976,36.2790694348055
